,Churn,gender,SeniorCitizen,Partner,Dependents,tenure,Contract,PaperlessBilling,PaymentMethod,Charges.Monthly,Charges.Total,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies
34,No,Female,0,No,No,67,One year,No,Electronic check,20.55,1343.4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
35,No,Male,0,Yes,Yes,20,Two year,Yes,Credit card (automatic),39.4,825.4,No,No phone service,DSL,Yes,No,Yes,Yes,No,No
36,No,Female,0,No,Yes,43,Two year,Yes,Electronic check,25.1,1070.15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
37,No,Female,0,Yes,No,55,Month-to-month,Yes,Bank transfer (automatic),89.8,4959.6,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No
38,No,Female,0,Yes,No,59,Month-to-month,Yes,Electronic check,94.75,5597.65,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No
39,No,Female,0,Yes,Yes,12,Two year,No,Bank transfer (automatic),20.3,224.5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
40,No,Male,0,Yes,Yes,27,Month-to-month,Yes,Bank transfer (automatic),75.75,1929,Yes,Yes,Fiber optic,No,No,No,No,No,No
41,Yes,Male,1,No,No,2,Month-to-month,Yes,Electronic check,49.25,91.1,Yes,No,DSL,Yes,No,No,No,No,No
42,No,Female,0,No,No,27,One year,No,Mailed check,78.2,2078.95,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes
43,No,Male,0,Yes,Yes,25,Two year,No,Credit card (automatic),25.5,630.6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
44,No,Male,0,Yes,Yes,25,One year,Yes,Bank transfer (automatic),61.6,1611,Yes,No,DSL,Yes,Yes,Yes,No,No,No
45,No,Male,0,No,Yes,29,Month-to-month,Yes,Mailed check,45.0,1242.45,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No
46,No,Male,0,Yes,No,72,Two year,Yes,Bank transfer (automatic),85.15,6316.2,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes
47,No,Female,0,No,No,14,One year,No,Credit card (automatic),51.45,727.85,Yes,No,DSL,No,Yes,No,No,No,No
48,No,Female,0,No,No,35,One year,Yes,Electronic check,99.25,3532,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes
49,No,Male,0,No,No,1,Month-to-month,Yes,Mailed check,44.3,44.3,Yes,No,DSL,No,No,No,No,No,No
50,No,Male,0,No,No,29,Month-to-month,Yes,Electronic check,94.2,2607.6,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes
51,No,Male,0,No,No,64,One year,No,Electronic check,81.25,5567.55,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No
52,No,Female,0,Yes,Yes,39,Month-to-month,Yes,Credit card (automatic),99.95,3767.4,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes
53,No,Female,1,No,No,40,Month-to-month,Yes,Electronic check,91.55,3673.6,Yes,No,Fiber optic,No,No,No,No,Yes,Yes
54,Yes,Male,0,No,No,40,Month-to-month,Yes,Credit card (automatic),104.5,4036.85,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
55,Yes,Female,1,No,No,11,Month-to-month,Yes,Electronic check,95.0,1120.3,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes
56,No,Female,0,Yes,No,6,Month-to-month,No,Electronic check,50.35,314.55,Yes,Yes,DSL,No,No,No,No,No,No
57,No,Male,0,No,No,30,Month-to-month,Yes,Mailed check,64.5,1888.45,Yes,Yes,DSL,Yes,No,No,No,No,Yes
58,No,Male,0,No,No,27,Month-to-month,Yes,Electronic check,19.4,529.8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
59,No,Male,1,Yes,No,70,One year,Yes,Electronic check,104.8,7308.95,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
60,No,Female,0,Yes,No,57,One year,Yes,Bank transfer (automatic),109.4,6252.7,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
61,No,Male,0,Yes,No,58,One year,No,Credit card (automatic),50.3,2878.55,Yes,No,DSL,No,No,Yes,No,No,No
62,No,Male,0,No,No,16,Month-to-month,Yes,Bank transfer (automatic),71.4,1212.1,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes
63,No,Female,0,Yes,No,69,Two year,Yes,Electronic check,116.0,8182.85,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
64,Yes,Male,0,No,No,1,Month-to-month,Yes,Electronic check,19.85,19.85,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
65,Yes,Male,0,No,Yes,1,Month-to-month,Yes,Electronic check,99.75,99.75,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
66,No,Male,1,Yes,Yes,32,Month-to-month,Yes,Mailed check,93.95,2861.45,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes
67,No,Male,0,Yes,Yes,16,Month-to-month,Yes,Bank transfer (automatic),90.8,1442.2,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No
68,Yes,Male,0,Yes,No,49,One year,No,Electronic check,84.35,4059.35,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes
69,No,Female,0,Yes,No,71,Two year,No,Bank transfer (automatic),58.25,4145.9,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes
70,No,Female,0,No,No,33,Month-to-month,No,Electronic check,107.55,3645.5,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
71,No,Female,0,Yes,No,10,Month-to-month,Yes,Bank transfer (automatic),19.95,187.75,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
72,Yes,Male,0,Yes,No,21,Month-to-month,Yes,Electronic check,111.2,2317.1,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
73,Yes,Male,0,Yes,Yes,37,Month-to-month,No,Bank transfer (automatic),40.2,1448.8,No,No phone service,DSL,Yes,Yes,Yes,No,No,No
74,No,Female,1,No,No,26,Month-to-month,Yes,Credit card (automatic),85.8,2193.65,Yes,No,Fiber optic,Yes,No,No,No,Yes,No
75,,Male,0,No,No,71,Two year,Yes,Credit card (automatic),19.9,1355.1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
76,No,Male,0,No,No,50,One year,Yes,Mailed check,35.4,1748.9,No,No phone service,DSL,Yes,No,No,Yes,No,No
77,Yes,Female,0,No,No,7,Month-to-month,Yes,Electronic check,73.85,511.25,Yes,Yes,Fiber optic,No,No,No,No,No,No
78,No,Female,0,Yes,Yes,61,Two year,No,Mailed check,88.1,5526.75,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
79,Yes,Male,0,No,No,15,Month-to-month,Yes,Electronic check,101.35,1553.95,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes
80,No,Female,0,No,Yes,26,Month-to-month,No,Mailed check,45.8,1147,No,No phone service,DSL,Yes,No,No,Yes,No,Yes
81,No,Male,0,Yes,No,72,Month-to-month,Yes,Electronic check,94.65,6747.35,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes
82,No,Male,0,Yes,Yes,44,One year,Yes,Bank transfer (automatic),20.5,865.05,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
83,No,Male,0,No,No,66,Month-to-month,No,Credit card (automatic),89.4,5976.9,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes
84,Yes,Female,0,No,No,2,Month-to-month,Yes,Electronic check,86.25,181.65,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No
85,No,Female,1,No,No,44,One year,No,Bank transfer (automatic),74.85,3268.05,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes
86,Yes,Female,0,No,No,12,Month-to-month,Yes,Bank transfer (automatic),89.75,1052.4,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No
87,No,Male,1,Yes,No,69,Two year,Yes,Electronic check,109.95,7634.25,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
88,Yes,Female,0,No,No,1,Month-to-month,Yes,Mailed check,80.2,80.2,Yes,Yes,Fiber optic,No,Yes,No,No,No,No
89,Yes,Female,0,No,No,3,Month-to-month,No,Mailed check,19.85,63.75,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
90,No,Female,0,Yes,No,2,Month-to-month,No,Electronic check,90.35,190.5,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No
91,No,Female,1,No,No,27,Month-to-month,Yes,Bank transfer (automatic),86.45,2401.05,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No
92,No,Male,0,No,No,26,Month-to-month,Yes,Electronic check,20.3,511.25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
93,No,Female,1,Yes,No,39,Month-to-month,Yes,Electronic check,101.25,3949.15,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes
94,Yes,Male,0,No,No,25,Month-to-month,Yes,Bank transfer (automatic),94.7,2362.1,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
95,Yes,Female,0,No,No,1,Month-to-month,No,Mailed check,70.9,70.9,Yes,No,Fiber optic,No,No,No,No,No,No
96,,Male,0,No,No,29,One year,Yes,Electronic check,58.75,1696.2,Yes,No,DSL,Yes,Yes,No,Yes,No,No
97,Yes,Male,0,Yes,No,22,Month-to-month,Yes,Electronic check,54.2,1152.7,Yes,No,DSL,Yes,No,No,Yes,No,No
98,,Female,1,No,No,5,Month-to-month,No,Credit card (automatic),59.9,287.85,Yes,No,DSL,Yes,Yes,No,Yes,No,No
99,No,Female,0,No,No,72,Two year,Yes,Electronic check,114.9,8496.7,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
100,No,Female,0,No,No,24,Two year,Yes,Bank transfer (automatic),19.55,470.2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
101,No,Female,0,Yes,No,19,Month-to-month,Yes,Electronic check,86.85,1564.4,Yes,Yes,Fiber optic,No,No,No,No,Yes,No
102,No,Male,0,Yes,Yes,71,Two year,No,Credit card (automatic),25.35,1847.55,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
103,No,Male,1,Yes,No,33,Month-to-month,Yes,Bank transfer (automatic),109.9,3694.7,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
104,No,Female,0,No,No,3,Month-to-month,No,Mailed check,19.95,58,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
105,No,Male,0,Yes,Yes,47,Month-to-month,No,Electronic check,87.2,4017.45,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No
106,No,Male,0,Yes,Yes,62,Two year,No,Mailed check,108.15,6825.65,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
107,No,Male,0,No,No,71,One year,Yes,Bank transfer (automatic),116.3,8309.55,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
108,No,Male,1,Yes,No,7,Month-to-month,Yes,Electronic check,89.0,605.45,Yes,No,Fiber optic,No,No,No,No,Yes,Yes
109,No,Female,0,Yes,Yes,27,Month-to-month,No,Mailed check,74.4,1972.35,Yes,No,Fiber optic,Yes,No,No,No,No,No
110,No,Male,0,No,No,2,Month-to-month,No,Mailed check,20.05,33.7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
111,No,Female,0,No,Yes,25,Two year,No,Bank transfer (automatic),35.05,844.45,No,No phone service,DSL,Yes,No,No,Yes,No,No
112,No,Male,1,No,No,30,Month-to-month,Yes,Electronic check,74.75,2111.3,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes
113,Yes,Female,1,Yes,No,58,One year,Yes,Credit card (automatic),105.5,6205.5,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes
114,Yes,Male,0,Yes,No,10,Month-to-month,Yes,Electronic check,85.25,855.3,Yes,Yes,Fiber optic,No,No,No,No,No,Yes
115,No,Female,0,No,No,9,Month-to-month,Yes,Credit card (automatic),75.2,633.85,Yes,Yes,Fiber optic,No,No,No,No,No,No
116,Yes,Female,1,Yes,No,6,Month-to-month,Yes,Electronic check,84.35,474.9,Yes,Yes,Fiber optic,No,No,No,No,No,Yes
117,No,Female,0,Yes,Yes,69,One year,No,Bank transfer (automatic),84.45,5848.6,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No
118,No,Female,1,No,No,66,Two year,Yes,Bank transfer (automatic),102.4,6471.85,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes
119,Yes,Female,0,No,No,70,One year,No,Credit card (automatic),115.55,8127.6,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
120,Yes,Male,0,No,No,25,One year,No,Bank transfer (automatic),25.3,676.35,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
121,No,Female,0,Yes,Yes,46,Two year,Yes,Mailed check,19.25,864.2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
122,No,Female,0,Yes,No,54,One year,Yes,Mailed check,114.65,6049.5,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
123,Yes,Female,0,No,No,15,Month-to-month,No,Electronic check,105.1,1582.75,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
124,No,Female,0,Yes,Yes,12,Month-to-month,No,Bank transfer (automatic),19.4,198.1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
125,No,Female,0,No,No,22,Month-to-month,Yes,Electronic check,50.35,1098.85,No,No phone service,DSL,No,Yes,No,No,Yes,Yes
126,No,Female,0,Yes,No,70,Two year,No,Bank transfer (automatic),57.8,4039.3,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes
127,No,Male,0,No,No,30,Month-to-month,Yes,Credit card (automatic),84.3,2438.6,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No
128,No,Male,0,Yes,Yes,71,One year,No,Bank transfer (automatic),100.55,7113.75,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
129,No,Male,0,Yes,No,30,One year,No,Credit card (automatic),19.8,576.65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
130,Yes,Male,0,Yes,Yes,4,Month-to-month,Yes,Bank transfer (automatic),84.8,371.9,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No
131,Yes,Male,0,No,No,2,Month-to-month,Yes,Electronic check,85.85,167.3,Yes,No,Fiber optic,No,No,Yes,No,No,Yes
132,No,Male,0,No,Yes,10,One year,Yes,Bank transfer (automatic),19.95,219.5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
133,No,Male,1,No,No,4,Month-to-month,No,Electronic check,75.35,273.4,Yes,No,Fiber optic,Yes,No,No,No,No,No
134,No,Male,1,No,No,52,Month-to-month,Yes,Credit card (automatic),48.8,2555.05,No,No phone service,DSL,Yes,No,No,No,Yes,Yes
135,Yes,Male,0,No,No,5,Month-to-month,No,Electronic check,47.15,223.15,Yes,Yes,DSL,No,No,No,No,No,No
136,No,Male,0,Yes,Yes,8,Two year,No,Mailed check,20.15,165.5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
137,No,Female,1,No,No,2,Month-to-month,Yes,Electronic check,44.3,89.3,Yes,No,DSL,No,No,No,No,No,No
138,No,Male,0,No,No,3,Month-to-month,No,Electronic check,84.3,235.05,Yes,No,Fiber optic,No,Yes,No,No,No,Yes
139,No,Male,0,No,No,19,Month-to-month,No,Electronic check,59.55,1144.6,Yes,Yes,DSL,No,No,Yes,Yes,No,No
140,No,Male,0,No,No,72,Two year,No,Bank transfer (automatic),69.65,4908.25,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No
141,No,Male,1,Yes,No,63,One year,No,Bank transfer (automatic),36.1,2298.9,No,No phone service,DSL,Yes,No,No,Yes,No,No
142,No,Male,0,Yes,No,66,Two year,Yes,Bank transfer (automatic),56.6,3789.2,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No
143,Yes,Male,0,No,No,1,Month-to-month,Yes,Electronic check,75.9,75.9,Yes,No,Fiber optic,No,No,No,Yes,No,No
144,No,Female,0,No,No,60,One year,Yes,Bank transfer (automatic),79.2,4765,Yes,Yes,Fiber optic,No,No,Yes,No,No,No
145,No,Female,0,Yes,Yes,48,One year,No,Credit card (automatic),45.0,2196.3,No,No phone service,DSL,Yes,No,Yes,No,No,Yes
146,Yes,Female,0,No,No,1,Month-to-month,Yes,Credit card (automatic),85.55,85.55,Yes,No,Fiber optic,No,No,Yes,No,Yes,No
147,Yes,Male,0,No,No,15,Month-to-month,Yes,Electronic check,93.35,1444.65,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
148,No,Female,0,Yes,No,50,Month-to-month,Yes,Bank transfer (automatic),109.65,5405.8,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes
149,No,Male,0,Yes,Yes,72,Two year,No,Credit card (automatic),89.7,6339.3,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
150,No,Female,0,No,No,46,Month-to-month,No,Mailed check,84.25,3847.6,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No
151,No,Female,0,Yes,Yes,72,Two year,No,Bank transfer (automatic),92.65,6733,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
152,No,Male,0,Yes,Yes,1,Month-to-month,No,Mailed check,19.7,19.7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
153,No,Female,0,No,No,1,Month-to-month,Yes,Electronic check,50.1,50.1,Yes,Yes,DSL,No,No,No,No,No,No
154,No,Female,1,No,No,67,Two year,Yes,Bank transfer (automatic),92.45,6140.85,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No
155,No,Female,0,Yes,Yes,48,Two year,No,Electronic check,79.65,3870.3,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes
156,No,Female,0,No,No,72,Two year,Yes,Electronic check,109.9,7624.2,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
157,No,Male,0,Yes,No,52,One year,Yes,Credit card (automatic),81.4,4354.45,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes
158,No,Female,0,Yes,Yes,67,One year,No,Credit card (automatic),50.55,3431.75,Yes,No,DSL,No,Yes,No,No,No,No
159,Yes,Female,0,Yes,Yes,28,Month-to-month,Yes,Electronic check,81.05,2227.1,Yes,No,Fiber optic,No,No,No,No,No,Yes
160,No,Female,0,Yes,Yes,32,Month-to-month,No,Bank transfer (automatic),62.45,2045.55,Yes,Yes,DSL,No,Yes,Yes,No,No,No
161,Yes,Female,1,Yes,No,27,Month-to-month,Yes,Bank transfer (automatic),75.2,1929.35,Yes,No,Fiber optic,Yes,No,No,No,No,No
162,No,Male,0,No,No,3,Month-to-month,No,Electronic check,90.4,268.45,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes
163,Yes,Male,0,No,No,2,Month-to-month,Yes,Electronic check,85.65,181.5,Yes,Yes,Fiber optic,No,No,No,No,Yes,No
164,Yes,Female,0,No,Yes,9,Month-to-month,Yes,Mailed check,72.9,651.4,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes
165,No,Male,0,Yes,Yes,50,Two year,Yes,Credit card (automatic),70.5,3486.65,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No
166,No,Female,0,Yes,Yes,71,Two year,No,Bank transfer (automatic),20.1,1389.6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
167,Yes,Male,1,Yes,No,32,Month-to-month,Yes,Electronic check,74.9,2303.35,Yes,Yes,Fiber optic,No,No,No,No,No,No
168,No,Female,0,Yes,Yes,16,Month-to-month,No,Bank transfer (automatic),100.7,1522.7,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes
169,No,Female,0,Yes,Yes,67,Two year,Yes,Bank transfer (automatic),105.65,6717.9,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes
170,No,Male,0,Yes,Yes,72,Two year,Yes,Credit card (automatic),114.3,8058.55,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
171,Yes,Female,0,No,No,3,Month-to-month,No,Electronic check,19.75,58.85,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
172,No,Male,0,Yes,Yes,23,One year,No,Mailed check,24.35,538.5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
173,No,Male,0,Yes,Yes,72,Two year,No,Bank transfer (automatic),69.85,5102.35,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No
174,No,Male,0,Yes,Yes,7,Month-to-month,No,Mailed check,58.85,465.7,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes
175,,Male,1,Yes,No,65,One year,Yes,Bank transfer (automatic),103.15,6792.45,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
176,No,Male,0,Yes,Yes,8,Month-to-month,Yes,Electronic check,54.4,475.1,Yes,No,DSL,No,No,No,No,Yes,No
177,No,Male,0,Yes,Yes,66,Two year,No,Bank transfer (automatic),50.55,3364.55,No,No phone service,DSL,No,No,No,Yes,Yes,Yes
178,Yes,Male,0,No,No,5,Month-to-month,No,Mailed check,21.05,113.85,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
179,Yes,Male,0,No,No,49,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
180,No,Male,0,Yes,No,63,Two year,Yes,Bank transfer (automatic),19.95,1234.8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
181,No,Female,1,Yes,Yes,12,Month-to-month,Yes,Mailed check,29.3,355.9,No,No phone service,DSL,No,No,No,Yes,No,No
182,No,Male,0,Yes,Yes,27,Month-to-month,Yes,Credit card (automatic),54.75,1510.3,Yes,No,DSL,Yes,Yes,No,No,No,No
183,No,Female,0,No,No,35,Month-to-month,No,Electronic check,60.55,1982.6,Yes,No,DSL,Yes,Yes,Yes,No,No,No
